,high,pre_settle,oi,wind_code,volume,amount,settle,low,trade_date,close,open,change,bopu_symbol,local_symbol,pre_close
2015/10/9,2215.6,2177.2,11215.0,IH1510.CFE,5160.0,3407532300.0,2207.2,2184.6,20151009,2207.4,2189.4,30.2,IH1510|FU|CFFEX,IH1510,2171.0
2015/10/12,2310.8,2207.2,10752.0,IH1510.CFE,6021.0,4090356660.0,2278.4,2211.2,20151012,2276.2,2211.2,69.0,IH1510|FU|CFFEX,IH1510,2207.4
2015/10/13,2282.8,2278.4,9325.0,IH1510.CFE,4607.0,3135570780.0,2264.6,2258.4,20151013,2262.0,2278.4,-16.4,IH1510|FU|CFFEX,IH1510,2276.2
2015/10/14,2278.0,2264.6,7793.0,IH1510.CFE,5071.0,3439830900.0,2248.0,2236.2,20151014,2240.0,2247.4,-24.6,IH1510|FU|CFFEX,IH1510,2262.0
2015/10/15,2340.0,2248.0,5228.0,IH1510.CFE,4752.0,3237171420.0,2286.8,2247.2,20151015,2297.0,2340.0,49.0,IH1510|FU|CFFEX,IH1510,2240.0
2015/10/16,2294.8,2258.4,7878.0,IH1512.CFE,1373.0,938084880.0,2264.6,2252.6,20151016,2272.6,2280.0,14.2,IH1512|FU|CFFEX,IH1512,2262.2
2015/10/19,2277.0,2264.6,7804.0,IH1512.CFE,880.0,595747560.0,2240.0,2225.2,20151019,2239.4,2269.8,-25.2,IH1512|FU|CFFEX,IH1512,2272.6
2015/10/20,2268.0,2240.0,8077.0,IH1512.CFE,860.0,578274240.0,2250.8,2225.0,20151020,2264.2,2239.4,24.2,IH1512|FU|CFFEX,IH1512,2239.4
2015/10/21,2275.2,2250.8,8099.0,IH1512.CFE,1121.0,753339600.0,2208.0,2178.0,20151021,2215.8,2264.2,-35.0,IH1512|FU|CFFEX,IH1512,2264.2
2015/10/22,2273.4,2208.0,7996.0,IH1512.CFE,986.0,663333660.0,2258.6,2214.0,20151022,2256.6,2214.8,48.6,IH1512|FU|CFFEX,IH1512,2215.8
2015/10/23,2292.6,2258.6,8026.0,IH1512.CFE,728.0,495462300.0,2281.6,2250.0,20151023,2292.6,2261.6,34.0,IH1512|FU|CFFEX,IH1512,2256.6
2015/10/26,2323.2,2281.6,8207.0,IH1512.CFE,909.0,627551880.0,2283.4,2272.2,20151026,2290.0,2292.6,8.4,IH1512|FU|CFFEX,IH1512,2292.6
2015/10/27,2295.6,2283.4,8164.0,IH1512.CFE,725.0,494336820.0,2286.0,2245.0,20151027,2292.2,2280.4,8.8,IH1512|FU|CFFEX,IH1512,2290.0
2015/10/28,2285.0,2286.0,8253.0,IH1512.CFE,776.0,527873160.0,2255.8,2245.2,20151028,2249.4,2279.2,-36.6,IH1512|FU|CFFEX,IH1512,2292.2
2015/10/29,2275.8,2255.8,8107.0,IH1512.CFE,668.0,452929920.0,2263.4,2247.0,20151029,2261.0,2250.2,5.2,IH1512|FU|CFFEX,IH1512,2249.4
2015/10/30,2287.6,2263.4,8098.0,IH1512.CFE,708.0,481375560.0,2272.4,2248.8,20151030,2263.8,2261.6,0.4,IH1512|FU|CFFEX,IH1512,2261.0
2015/11/2,2271.0,2272.4,7973.0,IH1512.CFE,892.0,602931960.0,2248.8,2225.6,20151102,2243.8,2251.0,-28.6,IH1512|FU|CFFEX,IH1512,2263.8
2015/11/3,2259.0,2248.8,7860.0,IH1512.CFE,737.0,496631160.0,2236.0,2228.0,20151103,2228.0,2247.6,-20.8,IH1512|FU|CFFEX,IH1512,2243.8
2015/11/4,2351.6,2236.0,8097.0,IH1512.CFE,1442.0,990973980.0,2338.2,2240.0,20151104,2351.0,2244.0,115.0,IH1512|FU|CFFEX,IH1512,2228.0
